Понедельник
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"08:20-09:50","2,4,6,8,10,12,14,16",Программирование,Лабораторные занятия,P3121,Письмак Алексей Евгеньевич,
"10:00-11:30","2,4,6,8,10,12,14,16",Программирование,Лабораторные занятия,P3121,Письмак Алексей Евгеньевич,
"11:40-13:10",чет,Базы данных,Лабораторные занятия,P33212,Николаев Владимир Вячеславович,
,нечет,Базы данных,Лабораторные занятия,P33222,Николаев Владимир Вячеславович,
"13:30-15:00",чет,Базы данных,Лабораторные занятия,P33212,Николаев Владимир Вячеславович,
,нечет,Базы данных,Лабораторные занятия,P33222,Николаев Владимир Вячеславович,
"15:20-16:50",чет,Телекоммуникационные системы,Лабораторные занятия,P33312,Алиев Тауфик Измайлович,
,нечет,Телекоммуникационные системы,Лабораторные занятия,P33302,Алиев Тауфик Измайлович,
"17:00-18:30",все,Нейросетевые вычисления,Лекции,P42191,Старобыховская Анастасия Александровна,
,"2,3,4,5,6,7,8,9",Технологии нейросетевых вычислений,Лекции,P34301,Старобыховская Анастасия Александровна,
"18:40-20:10",чет,Параллельные вычисления,Лекции,P42141,Балакшин Павел Валерьевич,: А.В.Мишенёв
,"2,4,6,8,10,12,14,16",Параллельные вычисления,Лекции,P42191,Балакшин Павел Валерьевич,: А.В. Мишенёв
,нечет,Параллельные вычисления,Лабораторные занятия,P42141,Балакшин Павел Валерьевич,: А.В. Мишенёв
,"3,5,7,9,11,13,15,17",Параллельные вычисления,Лабораторные занятия,P42191,Балакшин Павел Валерьевич,: А.В. Мишенёв
"20:20-21:50",нечет,Параллельные вычисления,Лабораторные занятия,P42141,Балакшин Павел Валерьевич,: А.В. Мишенёв
,"3,5,7,9,11,13,15,17",Параллельные вычисления,Лабораторные занятия,P42191,Балакшин Павел Валерьевич,: А.В. Мишенёв
Вторник
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30",чет,Языки программирования,Лабораторные занятия,P32081,Гурьянова Аглая Геннадьевна,
,нечет,Языки программирования,Лабораторные занятия,P32091,Гурьянова Аглая Геннадьевна,
"11:40-13:10",чет,Языки программирования,Лабораторные занятия,P32081,Гурьянова Аглая Геннадьевна,
,нечет,Языки программирования,Лабораторные занятия,P32091,Гурьянова Аглая Геннадьевна,
"13:30-15:00",чет,Моделирование,Лабораторные занятия,P34302,Алиев Тауфик Измайлович,
,нечет,Моделирование,Лабораторные занятия,P34312,Алиев Тауфик Измайлович,
"15:20-16:50",чет,Моделирование,Лабораторные занятия,P34302,Алиев Тауфик Измайлович,
,нечет,Моделирование,Лабораторные занятия,P34312,Алиев Тауфик Измайлович,
"17:00-18:30",чет,Моделирование,Лабораторные занятия,P34102,Алиев Тауфик Измайлович,
,чет,Моделирование,Лабораторные занятия,P34112,Алиев Тауфик Измайлович,
,нечет,Моделирование,Лабораторные занятия,P34301,Алиев Тауфик Измайлович,
,нечет,Моделирование,Лабораторные занятия,P3404c,Алиев Тауфик Измайлович,
"18:40-20:10",чет,Моделирование,Лабораторные занятия,P34102,Алиев Тауфик Измайлович,
,чет,Моделирование,Лабораторные занятия,P34112,Алиев Тауфик Измайлович,
,нечет,Моделирование,Лабораторные занятия,P34301,Алиев Тауфик Измайлович,
,нечет,Моделирование,Лабораторные занятия,P3404c,Алиев Тауфик Измайлович,
Среда
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30",чет,Информационные системы и базы данных,Лабораторные занятия,P33111,Харитонова Анастасия Евгеньевна,
,нечет,Информационные системы и базы данных,Лабораторные занятия,P33101,Харитонова Анастасия Евгеньевна,
"11:40-13:10",чет,Информационные системы и базы данных,Лабораторные занятия,P33111,Харитонова Анастасия Евгеньевна,
,нечет,Информационные системы и базы данных,Лабораторные занятия,P33101,Харитонова Анастасия Евгеньевна,
"13:30-15:00","2,4,6,8,10,12,14,16",Основы профессиональной деятельности,Лабораторные занятия,P3119,Перцев Тимофей Сергеевич,
,"3,5,7,9,11,13,15,17",Информатика,Лабораторные занятия,P3119,Рыбаков Степан Дмитриевич,
"15:20-16:50","2,4,6,8,10,12,14,16",Основы профессиональной деятельности,Лабораторные занятия,P3119,Перцев Тимофей Сергеевич,
,"3,5,7,9,11,13,15,17",Информатика,Лабораторные занятия,P3119,Рыбаков Степан Дмитриевич,
"17:00-18:30","2,4,6,8,10,12,14,16",Программирование систем интернета вещей,Лабораторные занятия,P4130,Шматков Владислав Николаевич,
,"3,5,7,9,11,13,15,17",Программирование систем интернета вещей,Лабораторные занятия,P4131,Шматков Владислав Николаевич,
"18:40-20:10","2,4,6,8,10,12,14,16",Языки описания архитектуры и аппаратуры,Лабораторные занятия,P4119,Антонов Александр Александрович,
,"2,4,6,8,10,12,14,16",Языки описания архитектуры и аппаратуры,Лабораторные занятия,P4121,Антонов Александр Александрович,
,"2,4,6,8,10,12,14,16",Языки описания архитектуры и аппаратуры,Лабораторные занятия,P4120,Антонов Александр Александрович,
Четверг
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"08:20-09:50","2,4,6,8,10,12,14,16",Веб-программирование,Лабораторные занятия,P32311,Максимов Андрей Николаевич,
"10:00-11:30","2,4,6,8,10,12,14,16",Веб-программирование,Лабораторные занятия,P32311,Максимов Андрей Николаевич,
