Понедельник
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30",чет,Системы искусственного интеллекта,Лабораторные занятия,P33302,Королёва Юлия Александровна,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33312,Королёва Юлия Александровна,
"11:40-13:10",чет,Системы искусственного интеллекта,Лабораторные занятия,P33302,Королёва Юлия Александровна,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33312,Королёва Юлия Александровна,
"13:30-15:00",чет,Системы искусственного интеллекта,Лабораторные занятия,P33222,Королёва Юлия Александровна,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33674,Королёва Юлия Александровна,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33694,Королёва Юлия Александровна,
"15:20-16:50",чет,Системы искусственного интеллекта,Лабораторные занятия,P33222,Королёва Юлия Александровна,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33674,Королёва Юлия Александровна,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33694,Королёва Юлия Александровна,
"17:00-18:30",чет,Гибридные интеллектуальные системы,Лекции,P42301,Баймуратов Ильдар Раисович,
,нечет,Программирование систем интернета вещей,Лекции,P42301,Шматков Владислав Николаевич,
,"3,5,7,9,11,13,15,17",Программирование систем интернета вещей,Лекции,P42302,Шматков Владислав Николаевич,
"18:40-20:10",чет,Гибридные интеллектуальные системы,Лабораторные занятия,P42301,Баймуратов Ильдар Раисович,
,нечет,Программирование систем интернета вещей,Лабораторные занятия,P42301,Шматков Владислав Николаевич,
,нечет,Программирование систем интернета вещей,Лабораторные занятия,P42302,Шматков Владислав Николаевич,
"20:20-21:50",чет,Гибридные интеллектуальные системы,Лабораторные занятия,P42301,Баймуратов Ильдар Раисович,
,нечет,Программирование систем интернета вещей,Лабораторные занятия,P42301,Шматков Владислав Николаевич,
,нечет,Программирование систем интернета вещей,Лабораторные занятия,P42302,Шматков Владислав Николаевич,
Вторник
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"13:30-15:00",нечет,Языки программирования,Лабораторные занятия,P32102,Логинов Иван Павлович,
"15:20-16:50",нечет,Языки программирования,Лабораторные занятия,P32102,Логинов Иван Павлович,
"18:40-20:10",чет,Системы искусственного интеллекта,Лабораторные занятия,P33202,Кугаевских Александр Владимирович,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33212,Кугаевских Александр Владимирович,
"20:20-21:50",чет,Системы искусственного интеллекта,Лабораторные занятия,P33202,Кугаевских Александр Владимирович,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33212,Кугаевских Александр Владимирович,
Среда
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30",чет,Низкоуровневое программирование,Лабораторные занятия,P33301,Логинов Иван Павлович,
,нечет,Низкоуровневое программирование,Лабораторные занятия,P33102,Логинов Иван Павлович,
"11:40-13:10",чет,Низкоуровневое программирование,Лабораторные занятия,P33301,Логинов Иван Павлович,
,нечет,Низкоуровневое программирование,Лабораторные занятия,P33102,Логинов Иван Павлович,
"13:30-15:00",все,Автоматическая обработка естественного языка,Лекции,P42301,Шилин Иван Андреевич,
"15:20-16:50",все,Автоматическая обработка естественного языка,Лабораторные занятия,P42301,Шилин Иван Андреевич,
"17:00-18:30","2,4,6,8,10,12,14,16",Архитектура диалоговых систем,Лабораторные занятия,P4131,Ефимов Павел Владимирович,
,"3,5,7,9,11,13,15,17",Архитектура диалоговых систем,Лабораторные занятия,P4130,Ефимов Павел Владимирович,
"18:40-20:10","3,5,7,9,11,13,15,17",Организация вычислительных систем,Лабораторные занятия,P4119,Быковский Сергей Вячеславович,
,"3,5,7,9,11,13,15,17",Организация вычислительных систем,Лабораторные занятия,P4121,Быковский Сергей Вячеславович,
,"3,5,7,9,11,13,15,17",Организация вычислительных систем,Лабораторные занятия,P4120,Быковский Сергей Вячеславович,
Четверг
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30","2,4,6,8,10,12,14,16",Основы профессиональной деятельности,Лабораторные занятия,P3124,Белозубов Александр Владимирович,
,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Информатика,Консультация,O3143,Болдырева Елена Александровна,
,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Информатика,Консультация,O3144,Болдырева Елена Александровна,
"11:40-13:10","2,4,6,8,10,12,14,16",Основы профессиональной деятельности,Лабораторные занятия,P3124,Белозубов Александр Владимирович,
"15:20-16:50","3,5,7,9,11,13,15,17",Компьютерное зрение,Практические занятия,КЗР1 1.1,Денисов Алексей Константинович,
"17:00-18:30",чет,Технологии разработки интерактивных цифровых ресурсов,Лабораторные занятия,P33222,Райла Мартин,
,"3,5,7,9,11,13,15,17",Компьютерное зрение,Практические занятия,КЗР2 1.1,Денисов Алексей Константинович,
"18:40-20:10",чет,Веб-программирование,Лабораторные занятия,P32131,Райла Мартин,: 1/2 группы
,"1,3,5,7,9,11,13,15,17",Веб-программирование,Лабораторные занятия,P32092,Райла Мартин,
"20:20-21:50",чет,Веб-программирование,Лабораторные занятия,P32131,Райла Мартин,: 1/2 группы
,"1,3,5,7,9,11,13,15,17",Веб-программирование,Лабораторные занятия,P32092,Райла Мартин,
Пятница
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30","2,4,6,8,12,14,16",Языки программирования,Лабораторные занятия,P32312,Андропов Андрей Васильевич,
,нечет,Информационные системы и базы данных,Лабораторные занятия,P33301,Харитонова Анастасия Евгеньевна,
"11:40-13:10","2,4,6,8,12,14,16",Языки программирования,Лабораторные занятия,P32312,Андропов Андрей Васильевич,
,нечет,Информационные системы и базы данных,Лабораторные занятия,P33301,Харитонова Анастасия Евгеньевна,
"13:30-15:00","2,4,6,8,12,14,16",Языки программирования,Лабораторные занятия,P32121,Гурьянова Аглая Геннадьевна,
"15:20-16:50","2,4,6,8,12,14,16",Языки программирования,Лабораторные занятия,P32121,Гурьянова Аглая Геннадьевна,
,нечет,Языки программирования,Лабораторные занятия,P32131,Андропов Андрей Васильевич,
"17:00-18:30","2,4,6,8,12,14,16",Технологии информационного поиска,Лекции,P42142,Ефимов Павел Владимирович,
,нечет,Языки программирования,Лабораторные занятия,P32131,Андропов Андрей Васильевич,
"18:40-20:10","1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17",Технологии информационного поиска,Лабораторные занятия,P42142,Ефимов Павел Владимирович,
Суббота
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30",чет,Системы искусственного интеллекта,Лабораторные занятия,P33211,Кугаевских Александр Владимирович,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33201,Кугаевских Александр Владимирович,
"11:40-13:10",чет,Системы искусственного интеллекта,Лабораторные занятия,P33211,Кугаевских Александр Владимирович,
,нечет,Системы искусственного интеллекта,Лабораторные занятия,P33201,Кугаевских Александр Владимирович,
"26.12.2022, Понедельник, 18 неделя"
Время,Неделя,Дисциплина,Вид,Учебная группа,Преподаватель,Примечание
"10:00-11:30",все,Языки программирования,Лабораторные занятия,P32312,Андропов Андрей Васильевич,
"11:40-13:10",все,Языки программирования,Лабораторные занятия,P32312,Андропов Андрей Васильевич,
"13:30-15:00",все,Языки программирования,Лабораторные занятия,P32121,Гурьянова Аглая Геннадьевна,
"15:20-16:50",все,Языки программирования,Лабораторные занятия,P32121,Гурьянова Аглая Геннадьевна,
"18:40-20:10",все,Технологии информационного поиска,Лабораторные занятия,P42142,Ефимов Павел Владимирович,
